h/l,fc,rhov,rhoh,fyv,fyh,AL,BE,T2B,L2R,R2L,B2T,LC,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,DS
1,377,0.92,1.05,5200,5200,0.012,1,0.081196,0.047497,0.047147,0.013449,14.1348,2.9207,2.8958,2.8653,2.8272,2.7784,2.7138,2.6248,2.4964,2.3046,2.0513,1.7901,1.4048,1.2292,1.1727,1.146,1.1299,1.1189,1.1109,1.1046,1.0997,1.0956,3
1,330,0.92,1.05,5200,5200,0.012,1,0.099454,0.060852,0.058401,0.0198,11.7702,3.2125,3.1864,3.1543,3.1142,3.0623,2.9928,2.8953,2.7499,2.5183,2.1698,1.8551,1.4522,1.2584,1.2015,1.1766,1.1624,1.153,1.1463,1.1413,1.1374,1.1342,3
1,341,0.92,1.05,5200,5200,0.012,1,0.046743,0.018178,0.044051,0.015486,10.5606,2.9774,2.9513,2.9193,2.8794,2.8282,2.7601,2.666,2.5292,2.3237,2.0525,1.8442,1.5615,1.2406,1.1131,1.0617,1.0344,1.0174,1.0058,0.99723,0.99071,0.98557,3
1,341,0.92,1.05,5200,5200,0.012,1,0.11585,0.04709,0.093003,0.024242,9.33466,3.1151,3.0831,3.0441,2.9957,2.934,2.8535,2.7456,2.5973,2.391,2.1303,1.8714,1.5449,1.384,1.3324,1.3088,1.2946,1.2849,1.2778,1.2723,1.268,1.2644,3
1,358,0.92,1.05,5200,5200,0.012,1,0.021114,0.017684,0.016524,0.013094,2.85912,2.833,2.8107,2.7835,2.7495,2.7058,2.6478,2.5668,2.4469,2.2567,1.9849,1.814,1.7481,1.7082,1.6767,1.6506,1.6289,1.6107,1.5953,1.5823,1.5711,1.5615,3
1.2,368,0.295,0.289,5906,5906,0.01,1,0.005232,0.0034817,0.0036838,0.0019335,8.27237,1.5428,1.5311,1.5171,1.5002,1.4794,1.4532,1.4194,1.3758,1.3248,1.3066,1.3863,1.3719,1.3384,1.3138,1.2949,1.2795,1.2664,1.2552,1.2454,1.2368,1.2293,0
1.2,350,1.63,0.289,3607,3607,0.01,1,0.0179,0.01173,0.012911,0.0067423,2.82466,2.2278,2.2089,2.186,2.1577,2.1216,2.0745,2.011,1.9233,1.8077,1.7062,1.6813,1.6793,1.6662,1.6482,1.6297,1.6122,1.5963,1.5822,1.5699,1.5593,1.5499,0
1.2,368,0.295,0.289,5906,5906,0.01,1,0.024909,0.019001,0.018548,0.01264,2.77798,2.5733,2.552,2.526,2.4934,2.4516,2.3961,2.3192,2.207,2.0385,1.8337,1.7319,1.7,1.68,1.6626,1.6475,1.6346,1.6235,1.6138,1.6052,1.5975,1.5906,1
1.2,368,0.295,0.289,5906,5906,0.01,1,0.030651,0.022435,0.023252,0.015036,2.54223,2.6272,2.6041,2.5758,2.5404,2.495,2.4348,2.3516,2.2311,2.0543,1.8567,1.7641,1.7318,1.7109,1.6932,1.6783,1.6658,1.655,1.6456,1.6371,1.6294,1.6222,1
1.2,350,1.63,0.289,3607,3607,0.01,1,0.029534,0.020326,0.022118,0.01291,1.97931,2.7222,2.6983,2.669,2.6324,2.5855,2.5233,2.4373,2.3122,2.1235,1.8953,1.8012,1.7862,1.772,1.7538,1.735,1.7177,1.7026,1.6896,1.6785,1.6689,1.6606,1
1.2,350,1.63,0.289,3607,3607,0.01,1,0.039255,0.027085,0.029112,0.016942,1.89887,2.7185,2.6924,2.6607,2.6211,2.5705,2.504,2.4132,2.2841,2.0992,1.9028,1.8214,1.8103,1.7988,1.7839,1.7689,1.7552,1.7431,1.7325,1.7232,1.715,1.7076,1
1.2,350,1.63,0.289,3607,3607,0.01,1,0.046368,0.031931,0.034476,0.020038,1.86772,2.7686,2.742,2.7095,2.669,2.6171,2.5485,2.4546,2.32,2.1254,1.9146,1.8284,1.8197,1.811,1.7988,1.7865,1.7752,1.7651,1.7562,1.7482,1.7411,1.7346,2
1.2,350,1.63,0.289,3607,3607,0.01,1,0.06235,0.042042,0.045401,0.025093,1.93751,2.9475,2.9192,2.8845,2.8413,2.786,2.7129,2.6123,2.4674,2.2529,1.9835,1.8463,1.8271,1.8095,1.7894,1.7707,1.7545,1.7406,1.7288,1.7187,1.7099,1.7023,2
2,369,0.39,0.31,4690,4690,0,1,0.010674,0.0072944,0.0078462,0.0044665,4.66145,2.3136,2.2939,2.2698,2.2397,2.201,2.1496,2.0782,1.9736,1.8162,1.64,1.5849,1.5823,1.5749,1.5623,1.5475,1.5319,1.5164,1.5017,1.4883,1.4764,1.4658,0
2,318,0.31,0.47,4690,4690,0,1,0.011793,0.0094877,0.0095934,0.0072884,4.00665,2.4613,2.4396,2.4131,2.3799,2.3372,2.2803,2.2011,2.0857,1.9157,1.724,1.621,1.5795,1.5538,1.5305,1.5076,1.4853,1.4644,1.4453,1.4285,1.4138,1.4011,0
2,386,0.31,0.31,4690,4690,0,1,0.00842,0.0071305,0.0049011,0.0036115,6.0112,2.012,1.9941,1.9722,1.9449,1.9101,1.8641,1.8013,1.7138,1.5989,1.4999,1.4741,1.482,1.4831,1.4748,1.4615,1.446,1.4303,1.4155,1.4021,1.3901,1.3797,0
2,320,0.39,0.47,4690,4690,0,1,0.0094325,0.0073809,0.0063367,0.0042851,5.1284,2.0081,1.9933,1.9753,1.953,1.9244,1.8869,1.8357,1.7632,1.6616,1.5629,1.5459,1.5389,1.5207,1.4997,1.4779,1.4565,1.4365,1.4187,1.4033,1.39,1.3787,0
2,458,0.31,0.31,4690,4690,0,1,0.0079911,0.0055691,0.0054974,0.0030754,6.53105,2.2115,2.1917,2.1676,2.1376,2.0994,2.0493,1.9811,1.8842,1.7433,1.5824,1.5137,1.4964,1.4821,1.4667,1.4511,1.4358,1.4214,1.4078,1.3952,1.3835,1.3728,0
2,389,0.31,0.31,4690,4690,0,1,0.0081612,0.0053418,0.0053432,0.0025238,6.36329,2.3466,2.3245,2.2976,2.264,2.221,2.1638,2.0848,1.971,1.8088,1.6352,1.5448,1.504,1.4775,1.4549,1.4338,1.4139,1.3956,1.3791,1.3646,1.3521,1.3413,0
0.56,317.13,0.66,0.66,3844.34,3844.34,0,1,0.025159,0.030816,0.020142,0.0258,1.68837,2.4011,2.3848,2.3649,2.3402,2.3088,2.2677,2.212,2.1342,2.0275,1.9093,1.8223,1.7701,1.7357,1.7076,1.6834,1.6622,1.6436,1.6273,1.6131,1.6005,1.5895,0
0.56,317.13,1.32,1.32,3844.34,3844.34,0,1,0.029659,0.032733,0.022274,0.025348,1.6067,2.4988,2.4814,2.4601,2.4335,2.3992,2.3535,2.2899,2.1974,2.0622,1.9121,1.8247,1.7787,1.7485,1.7246,1.7042,1.6865,1.6709,1.6573,1.6453,1.6348,1.6255,0
1,252.9,0,0.25,0,4570,0,1,0.012098,0.011994,0.011244,0.01114,3.40556,2.3985,2.3796,2.3565,2.3274,2.2899,2.2403,2.1721,2.0746,1.9311,1.7432,1.6001,1.5313,1.4918,1.4617,1.4363,1.4144,1.3955,1.3792,1.3653,1.3534,1.3431,0
2,352,0.31,0.31,4690,4690,0,1,0.0083386,0.0060818,0.0062129,0.0039562,6.01226,2.2367,2.2174,2.1939,2.1646,2.1269,2.0771,2.0084,1.9089,1.7621,1.5942,1.514,1.4921,1.4779,1.4601,1.4389,1.4165,1.395,1.3756,1.3588,1.3442,1.3318,1
2,352,0.31,0.31,4690,4690,0,1,0.02141,0.016505,0.017346,0.012441,4.44634,2.4771,2.4559,2.43,2.3976,2.3562,2.3013,2.2261,2.1193,1.9704,1.8182,1.7308,1.6356,1.4718,1.2971,1.186,1.1199,1.0776,1.0484,1.0272,1.0112,0.99857,1
2,369,0.39,0.31,4690,4690,0,1,0.017942,0.01493,0.01537,0.012358,2.64714,2.5596,2.5401,2.5162,2.4863,2.4478,2.3965,2.3251,2.2203,2.061,1.8682,1.7675,1.7236,1.6925,1.6637,1.6367,1.612,1.5903,1.5716,1.5556,1.5419,1.5301,1
2,369,0.39,0.31,4690,4690,0,1,0.02787,0.023969,0.024047,0.020145,2.66797,2.799,2.7773,2.7506,2.7172,2.6742,2.6169,2.5366,2.4176,2.2313,1.9879,1.8515,1.7781,1.6866,1.5611,1.4488,1.3716,1.3201,1.2845,1.2586,1.239,1.2236,1
2,318,0.31,0.47,4690,4690,0,1,0.02143,0.018959,0.018692,0.016222,2.45132,2.7038,2.6808,2.6527,2.6175,2.5722,2.512,2.4283,2.3068,2.1264,1.9119,1.7875,1.7293,1.6883,1.6523,1.6206,1.5931,1.5697,1.5498,1.5328,1.5183,1.5058,1
2,318,0.31,0.47,4690,4690,0,1,0.030665,0.027618,0.024605,0.021558,2.18793,2.754,2.7322,2.7056,2.6722,2.6293,2.5719,2.4919,2.3738,2.1925,1.9648,1.8381,1.7749,1.7222,1.6591,1.585,1.5187,1.4684,1.4313,1.4035,1.3822,1.3654,1
2,318,0.31,0.47,4690,4690,0,1,0.052027,0.051076,0.046511,0.045561,3.13707,2.952,2.9271,2.8966,2.8584,2.8092,2.7439,2.6534,2.5209,2.3176,2.0475,1.8457,1.7062,1.5877,1.4783,1.3883,1.3228,1.2765,1.2433,1.2186,1.1997,1.1849,1
2,386,0.31,0.31,4690,4690,0,1,0.012018,0.0097762,0.010064,0.0078218,3.60132,2.4005,2.3786,2.3517,2.3181,2.2748,2.2175,2.1387,2.0276,1.8786,1.7336,1.6547,1.6194,1.5979,1.5793,1.5614,1.544,1.5273,1.5117,1.4975,1.4848,1.4735,1
2,386,0.31,0.31,4690,4690,0,1,0.020911,0.020374,0.016884,0.016347,2.38124,2.6973,2.6731,2.6435,2.6064,2.5587,2.4954,2.4078,2.2819,2.1012,1.9036,1.7989,1.7493,1.7142,1.6838,1.6573,1.6348,1.6157,1.5998,1.5863,1.5749,1.565,1
2,320,0.39,0.47,4690,4690,0,1,0.0186,0.017712,0.014431,0.013543,3.69335,2.6877,2.666,2.6395,2.6064,2.5639,2.5075,2.4292,2.3143,2.1371,1.8974,1.7452,1.6688,1.5829,1.4697,1.3703,1.3027,1.2583,1.2279,1.2058,1.1892,1.1761,1
2,320,0.39,0.47,4690,4690,0,1,0.027724,0.022891,0.023118,0.018285,2.97566,2.7769,2.7544,2.727,2.6927,2.6487,2.5902,2.5089,2.3898,2.2062,1.963,1.814,1.7346,1.6534,1.5619,1.4817,1.4222,1.3797,1.3489,1.3259,1.3082,1.2941,1
2,320,0.39,0.47,4690,4690,0,1,0.04705,0.037283,0.036829,0.027062,3.13325,2.8835,2.8605,2.8322,2.7968,2.7512,2.6904,2.6057,2.4806,2.2853,2.0139,1.8416,1.7393,1.6363,1.5436,1.4742,1.4243,1.3879,1.3605,1.3393,1.3224,1.3086,1
2,458,0.31,0.31,4690,4690,0,1,0.018401,0.015642,0.014574,0.011816,2.70478,2.492,2.4717,2.4468,2.4157,2.3757,2.3228,2.2501,2.1465,1.9998,1.8394,1.7496,1.7096,1.6833,1.6595,1.6365,1.6147,1.5949,1.5775,1.5624,1.5495,1.5384,1
2,458,0.31,0.31,4690,4690,0,1,0.023294,0.020759,0.0206,0.018065,2.16476,2.6739,2.6524,2.626,2.5931,2.5508,2.4946,2.4167,2.3037,2.1368,1.9429,1.8287,1.7741,1.737,1.7055,1.6783,1.655,1.6353,1.6185,1.6041,1.5918,1.5812,1
2,458,0.31,0.31,4690,4690,0,1,0.03849,0.032235,0.032721,0.026467,2.86736,2.8489,2.8267,2.7997,2.7657,2.7219,2.6634,2.5817,2.461,2.275,2.0385,1.8815,1.7691,1.6386,1.5018,1.3954,1.3217,1.2707,1.2344,1.2076,1.1873,1.1714,1
2,389,0.31,0.31,4690,4690,0,1,0.018282,0.015178,0.016446,0.013342,2.48345,2.5777,2.5561,2.5297,2.4966,2.4541,2.3974,2.3186,2.2033,2.0326,1.8561,1.7719,1.7281,1.6953,1.6664,1.641,1.6191,1.6005,1.5849,1.5718,1.5606,1.5511,1
2,389,0.31,0.31,4690,4690,0,1,0.024901,0.022146,0.022311,0.019555,2.00861,2.7936,2.771,2.7434,2.7087,2.664,2.6042,2.5203,2.3953,2.2003,1.9622,1.8469,1.7951,1.7577,1.7266,1.7012,1.6807,1.6643,1.6509,1.6399,1.6307,1.6228,1
0.75,458.9,0.59,0.8,4591.06,4591.06,0,1,0.014395,0.014271,0.012683,0.012559,2.27309,2.4425,2.4235,2.4002,2.3709,2.3331,2.2829,2.2139,2.1162,1.9796,1.8215,1.7114,1.6552,1.6221,1.5973,1.5768,1.559,1.5433,1.5294,1.5171,1.5064,1.4971,1
0.75,458.9,0.59,0.8,4591.06,4591.06,0,1,0.016854,0.016857,0.0138,0.013803,2.12866,2.4353,2.4168,2.394,2.3656,2.329,2.2807,2.2148,2.1221,1.9934,1.8477,1.7454,1.6884,1.6548,1.6307,1.6116,1.5958,1.5825,1.5711,1.5614,1.553,1.5457,1
1,458.9,0.51,0.8,4591.06,4591.06,0,1,0.010925,0.0097628,0.0071516,0.0059894,3.10914,2.1738,2.1602,2.1435,2.1226,2.0959,2.0604,2.0113,1.94,1.8318,1.6855,1.5777,1.5304,1.5071,1.492,1.4806,1.471,1.4624,1.4545,1.4473,1.4406,1.4345,1
0.5,254.93,0.59,0.26,4436.38,4330.92,0,1,0.0062213,0.0089268,0.006448,0.0091535,3.50088,2.2015,2.1847,2.1641,2.1382,2.1047,2.0598,1.9972,1.9055,1.7694,1.6047,1.5017,1.4579,1.4347,1.4187,1.4061,1.3953,1.3859,1.3776,1.3702,1.3636,1.3577,1
0.5,254.93,0.59,0.26,4436.38,4330.92,0,1,0.0087739,0.013203,0.011042,0.015471,2.59399,2.2417,2.225,2.2047,2.1792,2.1467,2.1037,2.0452,1.9631,1.8502,1.7256,1.6429,1.5983,1.5706,1.5493,1.5308,1.514,1.4985,1.4844,1.4716,1.4601,1.45,1
0.56,317.13,0.66,0.66,3844.34,3844.34,0,1,0.028604,0.032889,0.024506,0.028791,1.53689,2.604,2.584,2.5594,2.5287,2.4893,2.4374,2.3665,2.2665,2.1254,1.9625,1.854,1.7991,1.7645,1.7364,1.7122,1.6911,1.6728,1.6569,1.643,1.6309,1.6203,1
1.38,256.97,0,0.25,0,4570,0,1,0.0099968,0.0094688,0.010481,0.009953,2.9296,2.1927,2.1737,2.1506,2.1221,2.0861,2.0398,1.979,1.8989,1.7994,1.6989,1.6225,1.5736,1.5422,1.5186,1.4991,1.4822,1.4671,1.4535,1.4413,1.4304,1.4206,1
1.38,256.97,0,0.25,0,4570,0,1,0.013205,0.0122,0.014321,0.013316,2.57028,2.3392,2.3204,2.2974,2.2687,2.2319,2.1834,2.1174,2.0244,1.8939,1.7534,1.6846,1.6324,1.5992,1.5744,1.5542,1.5372,1.5225,1.5096,1.4983,1.4882,1.4793,1
1.38,256.97,0,0.25,0,4570,0,1,0.019796,0.018996,0.020109,0.019309,1.98335,2.5762,2.5554,2.53,2.4983,2.4578,2.4043,2.3311,2.2265,2.0741,1.8901,1.779,1.7241,1.6883,1.6599,1.6363,1.6163,1.5994,1.5849,1.5726,1.5621,1.5531,1
1.38,256.97,0,0.25,0,4570,0,1,0.031452,0.032667,0.0333,0.034515,2.67898,2.7112,2.6893,2.6625,2.6288,2.5855,2.528,2.4486,2.3346,2.1707,1.9792,1.8281,1.6967,1.577,1.4899,1.4354,1.4004,1.3761,1.358,1.3438,1.3322,1.3226,1
1,252.9,0,0.25,0,4570,0,1,0.020994,0.021004,0.021392,0.021402,2.11511,2.5837,2.5628,2.5372,2.5053,2.4647,2.4111,2.3379,2.2334,2.0803,1.8882,1.7597,1.6981,1.6601,1.6309,1.6068,1.5866,1.5693,1.5546,1.5419,1.531,1.5216,1
1,252.9,0,0.25,0,4570,0,1,0.015536,0.013928,0.015699,0.01409,2.83558,2.4753,2.4552,2.4306,2.3999,2.3606,2.3087,2.2378,2.137,1.9903,1.8019,1.6661,1.6016,1.564,1.5358,1.5128,1.4933,1.4768,1.4628,1.4508,1.4407,1.4319,1
1,252.9,0,0.25,0,4570,0,1,0.019982,0.019663,0.019886,0.019567,2.12506,2.5651,2.5444,2.5191,2.4876,2.4474,2.3946,2.3223,2.2191,2.0682,1.8791,1.7508,1.6882,1.6501,1.6212,1.5978,1.5781,1.5615,1.5472,1.535,1.5245,1.5153,1
1,260,0.413,0.278,4324,4324,0,1,0.0022274,0.001776,0.0023972,0.0019458,11.386,1.6232,1.6108,1.5956,1.5766,1.5523,1.5204,1.4765,1.4136,1.3208,1.2034,1.1307,1.0927,1.0671,1.0494,1.0364,1.0263,1.0183,1.0117,1.0061,1.0013,0.99715,1
1,320,0.4,0.278,4324,4324,0,1,0.0040448,0.0049995,0.0034615,0.0044162,5.19777,1.9512,1.9355,1.9163,1.8923,1.8614,1.8203,1.7637,1.6826,1.5664,1.4282,1.3395,1.3118,1.305,1.3025,1.3006,1.2984,1.296,1.2935,1.2908,1.2881,1.2854,1
1,471,0.71,0.71,6735.4,6735.4,0,1,0.027441,0.024297,0.02579,0.022646,1.61013,2.4238,2.4056,2.3833,2.3554,2.3196,2.2721,2.2071,2.115,1.9869,1.8453,1.7498,1.6973,1.6639,1.6374,1.6141,1.5931,1.5743,1.5577,1.5433,1.531,1.5204,1
1,471,0.83,0.83,6454,6454,0,1,0.036516,0.035624,0.031622,0.03073,1.45853,2.5154,2.4992,2.4791,2.4539,2.4211,2.3772,2.3157,2.226,2.0941,1.9352,1.823,1.764,1.7276,1.6988,1.6739,1.6519,1.6328,1.6163,1.6022,1.59,1.5796,1
1.3,478,0.71,0.71,6841,6841,0,1,0.038665,0.038293,0.033998,0.033626,1.26429,2.5688,2.5505,2.5279,2.4994,2.4623,2.4126,2.3435,2.2447,2.1096,1.9693,1.881,1.8343,1.805,1.782,1.7624,1.7452,1.7299,1.7165,1.7046,1.6941,1.6849,1
1.3,436,0.67,0.67,6342,6342,0,1,0.0362,0.036504,0.036903,0.037207,1.27302,2.5905,2.5703,2.5457,2.5149,2.4754,2.4235,2.3527,2.2536,2.1181,1.9746,1.8811,1.8279,1.7925,1.7638,1.739,1.7168,1.6971,1.6796,1.6642,1.6508,1.6391,1
1,316,0.4,0.278,4324,4324,0,1,0.0022677,0.0029268,0.0025968,0.003256,8.6565,1.7,1.6884,1.6743,1.6567,1.6341,1.6044,1.5637,1.505,1.4157,1.288,1.1786,1.1276,1.1028,1.0869,1.0756,1.0672,1.0603,1.0546,1.0495,1.0449,1.0407,1
1,446,0.413,0.278,4324,4324,0,1,0.0026416,0.0024336,0.0026934,0.0024853,8.88629,1.7389,1.7238,1.7054,1.6826,1.6535,1.6152,1.5634,1.491,1.3894,1.2634,1.1656,1.1212,1.1013,1.0898,1.0822,1.0766,1.0723,1.0686,1.0655,1.0627,1.0602,1
2,352,2.613,0.363,4793,5302,0,1,0.010289,0.0087873,0.0077952,0.0062935,3.90495,2.4211,2.4002,2.3746,2.3425,2.3012,2.2462,2.1701,2.0604,1.9001,1.7195,1.6301,1.6004,1.5845,1.5696,1.5536,1.5362,1.5184,1.501,1.4849,1.4704,1.4576,1
2,536,2.613,0.363,4793,5302,0,1,0.018106,0.01576,0.013682,0.011336,2.7914,2.5536,2.5325,2.5066,2.4742,2.4323,2.3763,2.2983,2.1838,2.0141,1.8313,1.7456,1.7079,1.6789,1.6506,1.6237,1.5994,1.5784,1.5606,1.5457,1.5332,1.5225,1
2,492,2.613,0.363,4793,5302,0,1,0.026385,0.021225,0.022106,0.016946,2.06685,2.7377,2.7169,2.6915,2.6597,2.6186,2.5639,2.4876,2.3752,2.2026,1.9792,1.8443,1.7883,1.7525,1.7226,1.6975,1.6765,1.659,1.6443,1.6318,1.6209,1.6114,1
2,369,0.39,0.31,4690,4690,0,1,0.035803,0.03225,0.031371,0.027819,2.09195,2.866,2.8442,2.8175,2.7842,2.7413,2.6843,2.6049,2.4882,2.3073,2.06,1.9056,1.8313,1.7566,1.6572,1.5558,1.4779,1.4234,1.3848,1.3566,1.3352,1.3184,2
2,318,0.31,0.47,4690,4690,0,1,0.09759,0.10538,0.085226,0.093011,3.34719,3.168,3.1405,3.1068,3.0645,3.0101,2.9375,2.8362,2.6864,2.453,2.1339,1.8602,1.67,1.5677,1.5096,1.4712,1.4427,1.4204,1.4026,1.3881,1.3761,1.3661,2
2,386,0.31,0.31,4690,4690,0,1,0.050352,0.050781,0.043511,0.04394,3.31381,2.859,2.8338,2.8031,2.7647,2.7155,2.6502,2.5601,2.4303,2.2437,2.0304,1.8552,1.7032,1.5955,1.5288,1.4859,1.4555,1.4326,1.4145,1.3999,1.388,1.378,2
2,458,0.31,0.31,4690,4690,0,1,0.048966,0.041046,0.042824,0.034904,2.95098,2.9362,2.9129,2.8844,2.8486,2.8024,2.7408,2.6546,2.5271,2.3297,2.071,1.8857,1.7496,1.6313,1.5391,1.4698,1.4158,1.3737,1.3411,1.316,1.2963,1.2807,2
2,389,0.31,0.31,4690,4690,0,1,0.034049,0.031594,0.031025,0.028569,2.2153,2.9066,2.8832,2.8545,2.8185,2.7721,2.71,2.6227,2.4924,2.2889,2.0374,1.8935,1.7997,1.7114,1.6298,1.5635,1.5125,1.4737,1.4439,1.4206,1.4021,1.3871,2
0.75,458.9,0.59,0.8,4591.06,4591.06,0,1,0.023116,0.022443,0.017229,0.016557,1.8944,2.5534,2.5341,2.5104,2.4808,2.4428,2.3923,2.3227,2.223,2.0787,1.9072,1.8007,1.7455,1.7106,1.684,1.6623,1.6442,1.629,1.6162,1.6052,1.5957,1.5874,2
0.75,458.9,0.59,0.8,4591.06,4591.06,0,1,0.02367,0.023626,0.018296,0.018253,1.80237,2.6034,2.5837,2.5596,2.5294,2.4906,2.4392,2.3688,2.2687,2.1249,1.9483,1.8238,1.7623,1.7251,1.6967,1.6735,1.6542,1.6379,1.6241,1.6123,1.6022,1.5933,2
0.75,458.9,0.59,0.8,4591.06,4591.06,0,1,0.026356,0.025294,0.020691,0.019629,1.72455,2.6407,2.6204,2.5955,2.5644,2.5246,2.472,2.4001,2.2978,2.1507,1.9706,1.8436,1.781,1.7438,1.7156,1.6927,1.6736,1.6576,1.6441,1.6326,1.6227,1.6142,2
1,458.9,0.51,0.8,4591.06,4591.06,0,1,0.016211,0.012559,0.01155,0.007898,2.55706,2.2363,2.2224,2.2054,2.1843,2.1572,2.1214,2.072,2.0005,1.8941,1.7584,1.6627,1.6207,1.5965,1.5756,1.555,1.5339,1.5128,1.4923,1.4735,1.4567,1.442,2
0.5,295.3,0.5,0.5,5540.2,5055,0,1,0.028667,0.026413,0.027229,0.024976,1.48917,2.5207,2.503,2.4812,2.4538,2.4186,2.3717,2.3071,2.2151,2.0855,1.9386,1.8386,1.7848,1.7513,1.7254,1.7039,1.6855,1.6695,1.6555,1.6433,1.6326,1.6231,2
0.5,166.63,0.5,0.5,5624.6,5090.24,0,1,0.022678,0.023743,0.024568,0.025632,1.50582,2.5728,2.5524,2.5274,2.4961,2.4557,2.4021,2.3286,2.2245,2.0807,1.9208,1.8257,1.7767,1.7441,1.7178,1.6955,1.6759,1.6586,1.6433,1.6299,1.618,1.6077,2
0.5,275.6,0.5,0.5,5554.27,5230.85,0,1,0.043935,0.048005,0.041468,0.045538,1.62711,2.6737,2.6521,2.6256,2.5925,2.5499,2.4936,2.4168,2.3095,2.1648,2.0178,1.9203,1.8336,1.6984,1.5261,1.403,1.3292,1.2829,1.2517,1.2292,1.2123,1.1991,2
0.5,194.04,0.5,0,5455.8,0,0,1,0.036495,0.036146,0.037867,0.037519,1.95071,2.6562,2.6363,2.612,2.5815,2.5423,2.4904,2.4193,2.3183,2.1747,2.006,1.8804,1.781,1.6618,1.5301,1.4298,1.3641,1.3204,1.2898,1.2673,1.2501,1.2366,2
0.5,294.6,0,0.5,0,5048,0,1,0.026753,0.035229,0.024791,0.033267,4.34817,2.5909,2.571,2.5466,2.5161,2.477,2.4251,2.3535,2.2501,2.0988,1.908,1.7298,1.537,1.368,1.2746,1.2278,1.2005,1.182,1.1683,1.1573,1.1483,1.1407,2
0.5,216.55,0.25,0.5,5062.11,5062.11,0,1,0.033038,0.037376,0.0357,0.040038,1.50633,2.5632,2.5459,2.5247,2.4983,2.4644,2.4197,2.3586,2.2719,2.1479,1.9984,1.8847,1.8098,1.7413,1.6651,1.592,1.5339,1.4911,1.4597,1.4361,1.4178,1.4032,2
2,352,0.31,0.31,4690,4690,0,1,0.061537,0.042985,0.048877,0.030325,3.44723,2.8457,2.8219,2.7928,2.7564,2.7096,2.6471,2.5599,2.4303,2.2264,1.9684,1.8119,1.6891,1.5885,1.512,1.4549,1.4119,1.379,1.3536,1.3336,1.3175,1.3043,3
2,369,0.39,0.31,4690,4690,0,1,0.084086,0.061611,0.063065,0.04059,3.30815,3.0078,2.9844,2.9558,2.9201,2.8742,2.8132,2.7287,2.6048,2.4117,2.1362,1.9157,1.7277,1.5589,1.4415,1.366,1.3159,1.2812,1.256,1.2371,1.2225,1.2108,3
2,369,0.39,0.31,4690,4690,0,1,0.14378,0.091343,0.10155,0.049106,4.07925,3.1047,3.0793,3.0483,3.0096,2.9598,2.8938,2.8025,2.6695,2.465,2.1763,1.925,1.7002,1.5538,1.4788,1.4367,1.4097,1.3909,1.3771,1.3665,1.3581,1.3513,3
2,318,0.31,0.47,4690,4690,0,1,0.16098,0.1541,0.16832,0.16145,3.314,3.3393,3.3098,3.2738,3.2287,3.1708,3.0938,2.9866,2.8281,2.5779,2.2135,1.8764,1.6659,1.5719,1.5246,1.4965,1.4781,1.465,1.4552,1.4476,1.4416,1.4366,3
2,386,0.31,0.31,4690,4690,0,1,0.10045,0.095247,0.093283,0.088075,3.12542,3.1216,3.0945,3.0613,3.0198,2.9662,2.8948,2.7952,2.6485,2.4228,2.1326,1.8946,1.7127,1.6043,1.5421,1.5028,1.4751,1.4542,1.4378,1.4244,1.4134,1.4041,3
2,386,0.31,0.31,4690,4690,0,1,0.06619,0.06781,0.058357,0.059977,2.87435,2.9889,2.962,2.9289,2.8877,2.8347,2.7644,2.6672,2.5257,2.3153,2.0693,1.8825,1.7298,1.625,1.5602,1.5186,1.4896,1.4681,1.4513,1.4378,1.4265,1.4169,3
2,320,0.39,0.47,4690,4690,0,1,0.094713,0.079583,0.063403,0.048274,3.21369,3.063,3.0382,3.008,2.97,2.9213,2.8563,2.7659,2.6327,2.4233,2.1145,1.8835,1.7438,1.6417,1.5713,1.5239,1.4907,1.4663,1.4476,1.4327,1.4205,1.4103,3
2,458,0.31,0.31,4690,4690,0,1,0.086484,0.066059,0.063164,0.042739,3.67773,3.0308,3.0062,2.9761,2.9385,2.8901,2.8255,2.7354,2.6019,2.3943,2.1166,1.8954,1.7147,1.5808,1.496,1.4408,1.4019,1.3729,1.3504,1.3326,1.3182,1.3062,3
2,389,0.31,0.31,4690,4690,0,1,0.051139,0.042106,0.044846,0.035813,2.75485,2.9768,2.9519,2.9212,2.8829,2.8334,2.7673,2.6745,2.5367,2.3238,2.0703,1.9077,1.7725,1.654,1.5706,1.5177,1.4826,1.4576,1.4388,1.424,1.4122,1.4024,3
2,389,0.31,0.31,4690,4690,0,1,0.15665,0.10473,0.10941,0.057481,3.58668,3.1784,3.1508,3.117,3.0747,3.0202,2.9477,2.8465,2.697,2.4658,2.1665,1.9269,1.7239,1.6018,1.5332,1.4902,1.4604,1.4384,1.4215,1.4082,1.3973,1.3884,3
0.75,458.9,0.59,0.8,4591.06,4591.06,0,1,0.037375,0.035727,0.024454,0.022805,2.89015,2.6975,2.6766,2.6511,2.6192,2.5783,2.5245,2.4509,2.3462,2.1956,2.01,1.8688,1.7531,1.5872,1.4187,1.3163,1.2577,1.2209,1.1957,1.1772,1.163,1.1516,3
