h/l,fc,rhov,rhoh,fyv,fyh,AL,BE,T2B,L2R,R2L,B2T,LC,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,DS
2,471,0.27,0.27,4000,5000,0.073,1,0.017715,0.014516,0.013587,0.010388,2.69345,2.635,2.6137,2.5877,2.5551,2.5132,2.4572,2.3788,2.2623,2.0817,1.8567,1.7384,1.7023,1.6787,1.6569,1.6362,1.6174,1.6007,1.5864,1.5742,1.5639,1.555,1
2,471,0.27,0.27,4000,5000,0.073,1,0.022518,0.019034,0.019815,0.016331,2.01041,2.6801,2.6585,2.632,2.5989,2.5563,2.4998,2.4218,2.3095,2.145,1.9456,1.8273,1.7778,1.7481,1.7245,1.7043,1.6864,1.6702,1.6555,1.6422,1.6302,1.6195,1
2,486,0.61,0.61,4140,4140,0.073,1,0.02118,0.017873,0.018355,0.015048,2.32861,2.5843,2.5636,2.5384,2.507,2.4671,2.4146,2.3428,2.2397,2.0869,1.8935,1.7643,1.7071,1.6738,1.6472,1.6236,1.6019,1.582,1.564,1.548,1.5339,1.5216,1
2,471,0.27,0.27,4000,5000,0.073,1,0.02767,0.023602,0.023517,0.019449,1.86647,2.6097,2.5874,2.5601,2.526,2.4824,2.4246,2.345,2.2314,2.0749,1.9284,1.8514,1.8065,1.7758,1.7495,1.7252,1.7022,1.6806,1.6608,1.643,1.6272,1.6134,2
2,471,0.27,0.27,4000,5000,0.073,1,0.030935,0.026391,0.025623,0.021078,1.81055,2.6046,2.5832,2.5571,2.5248,2.4835,2.4292,2.3548,2.2489,2.1,1.9487,1.8671,1.8234,1.7934,1.7676,1.7434,1.7199,1.6975,1.6769,1.6586,1.6428,1.6292,2
2,486,0.61,0.61,4140,4140,0.073,1,0.03008,0.027397,0.028042,0.025359,1.67088,2.8043,2.7807,2.7518,2.7156,2.669,2.6071,2.5211,2.3963,2.212,1.999,1.8784,1.8227,1.7867,1.7576,1.733,1.7116,1.6931,1.677,1.663,1.6509,1.6403,2
2,486,0.61,0.61,4140,4140,0.073,1,0.035857,0.032625,0.032656,0.029424,1.537,2.8035,2.7791,2.7493,2.7118,2.6636,2.5995,2.5107,2.3825,2.1996,2.0118,1.9109,1.8602,1.8265,1.7991,1.776,1.7562,1.7389,1.7238,1.7105,1.6989,1.6887,2
2,486,0.61,0.61,4140,4140,0.073,1,0.048668,0.044323,0.042584,0.038239,1.3979,2.7807,2.7558,2.7253,2.687,2.6378,2.5725,2.4831,2.3583,2.195,2.037,1.9462,1.8975,1.8644,1.838,1.8162,1.798,1.7827,1.7696,1.7585,1.7489,1.7406,3
2,486,0.61,0.61,4140,4140,0.073,1,0.19072,0.12558,0.11998,0.054835,4.46713,2.957,2.9303,2.8977,2.857,2.8051,2.7368,2.6441,2.514,2.3372,2.1492,1.9704,1.7169,1.5431,1.4742,1.4432,1.4257,1.4143,1.4064,1.4004,1.3958,1.3922,3
1,474.17,0.66,0.51,6659,6802,0.07,1,0.011509,0.0075779,0.01232,0.0083882,3.00138,2.1627,2.1463,2.1263,2.1015,2.07,2.0289,1.9737,1.8977,1.7947,1.681,1.6044,1.5625,1.536,1.5164,1.5009,1.4881,1.4771,1.4674,1.4587,1.4507,1.4433,0
